"","title","artist","year","id","lang"
"359","Truly","Lionel Richie",1982,"461076","en"
"360","On The Wings Of Love","Jeffrey Osborne",1982,"718813","en"
"361","Get Closer","Linda Ronstadt",1982,"1767976","en"
"362","Get Up And Go","Go-Go's",1982,"6963618","en"
"363","Tug Of War","Paul McCartney",1982,"387597","en"
"364","Hot In The City","Billy Idol",1982,"1636100","en"
"365","Never Been In Love","Randy Meisner",1982,"1383907","en"
"366","Holdin' On","Tane Cain",1982,"3025951","en"
"367","Heartbreaker","Dionne Warwick",1982,"2277776","en"
"368","Right Here And Now","Bill Medley",1982,"5461894","en"
"369","So Much In Love","Timothy B. Schmit",1982,"936347","en"
"370","Please Be The One","Karla Bonoff",1982,"1666417","en"
"371","Missing You","Dan Fogelberg",1982,"1020973","en"
"372","Be My Lady","Jefferson Starship",1982,"1021276","en"
"373","The Only Way Out","Cliff Richard",1982,"1560276","en"
"374","Rock The Casbah","The Clash",1982,"76157","en"
"375","Situation","Yaz",1982,"2297803","en"
"376","All Of My Love","Bobby Caldwell",1982,"1488770","en"
"377","Everybody Wants You","Billy Squier",1982,"1634523","en"
"378","Destination Unknown","Missing Persons",1982,"1312865","en"
"379","Electricland","Bad Company",1982,"1129470","en"
"380","She's Tight","Cheap Trick",1982,"222504","en"
"381","Let It Be Me","Willie Nelson",1982,"429140","en"
"382","Shakin'","Eddie Money",1982,"922883","en"
"383","Machinery","Sheena Easton",1982,"1080168","en"
"384","Love Is In Control (Finger On The Trigger)","Donna Summer",1982,"735914","en"
"385","Burning Down One Side","Robert Plant",1982,"1636220","en"
"386","Close Enough To Perfect","Alabama",1982,"614097","en"
"387","Take It Away","Paul McCartney",1982,"387602","en"
"388","Love Will Turn You Around","Kenny Rogers",1982,"1699029","en"
"389","You And I","Eddie Rabbitt With Crystal Gayle",1982,"709766","en"
"390","Hold Me","Fleetwood Mac",1982,"400035","en"
"391","777-9311","The Time",1982,"1365385","en"
"392","Oh Julie","Barry Manilow",1982,"1145212","en"
"393","Workin' For A Livin'","Huey Lewis and The News",1982,"1727990","en"
"394","Even The Nights Are Better","Air Supply",1982,"1103971","en"
"395","Should I Stay Or Should I Go","The Clash",1982,"76153","en"
"396","Tainted Love","Soft Cell",1982,"384645","en"
"397","I'm Never Gonna Say Goodbye","Billy Preston",1982,"850977","en"
